Job Title,Company,Location,Salary Estimate,Rating,Description,Headquarters,Size,Founded,Ownership,Industry,Sector,Revenue,Competitors
Data Scientist,Havi Supply Chain,"Chicago, IL",$105K - $120K (Employer provided),3.6,"Full/Part-time: Full time
Job Category: Analytics
City: Chicago
HAVI is a global, privately owned company focused on innovating, optimizing and managing the supply chains of leading brands. Offering services in marketing analytics, packaging, supply chain management and logistics, HAVI partners with companies to address challenges big and small across the supply chain, from commodity to customer. Founded in 1974, HAVI employs more than 10,000 people and serves customers in more than 100 countrie...",-1,10000+ Employees,1975,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1
Risk Analytics Data Scientist,PayPal,"Austin, TX",$101K - $173K (Employer provided),3.6,"The Company
PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy.

We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whet...",-1,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
"Data Scientist, Applied AI - Remote",Azumo,Remote,-1,4.1,"Azumo is currently looking for a highly motivated Data Scientist / Machine Learning Engineer to develop and enhance our data and analytics infrastructure. The position is FULLY REMOTE, based in Latin America.
This position will provide you with the opportunity to collaborate with a dynamic team and talented data scientists in the field of big data analytics and applied AI. If you have a passion for designing and implementing advanced machine learning and deep learning models, particularly in the...",-1,Unknown,--,Company - Private,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
Sr. Data Scientist,EDGE,"Chicago, IL",$110K - $160K (Employer provided),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Senior Data Scientist,Envestnet,"Berwyn, PA",$132K - $172K (Glassdoor est.),4.2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist - Model Optimization,"quadric, Inc","Burlingame, CA",$114K - $167K (Glassdoor est.),4.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Machine Learning Engineer,Adidev Technologies Inc,"Austin, TX",$100K - $147K (Glassdoor est.),3.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
AI Scientist - Machine Learning (US/KR),Gauss Labs,"Palo Alto, CA",$142K - $187K (Glassdoor est.),3.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
Machine Learning Engineer L-1,Lauretta AI LLC,"Austin, TX",$80K - $93K (Employer provided),4.3,"Job Description:
Develop high-quality, maintainable code to build and deploy computer vision modules and machine learning models as part of an AI pipeline
Works with data and software engineering team to integrate models into pipeline
Support construction and iteration of product prototypes
Support data pipeline engineering and automation
Stay up to date with state of the art developments in computer vision tasks
Other duties as required by supervisors
Additional Requirements:",-1,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),-1
ML/AI Engineers,Adidev Technologies Inc,"Austin, TX",$118K - $184K (Glassdoor est.),3.8,"Role: ML/AI Engineers
(This role is open to US Citizens, Green Card holders, GC-EAD only. We do not sponsor visas.)

Summary:
Adidev is looking for an adept Machine Learning Engineer to take the helm in deploying advanced machine learning models, with a special emphasis on Generative AI. In this role, you will craft and refine AI-driven solutions, turning innovative ideas into value-adding features and services, thereby solidifying our market leadership and technological forefront for our client...",-1,Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,-1
